in:Altura [m],in:Apertura [%],in:Materiales,out:Energia [kWh/m2],out:UDI300 [%],out:UDI+ [%],out:DA500 [%],out:DA1000 [%],out:Valor m2/p [COP],img_1
3,0.05,TS,2.3,20.9,4.7,9.4,5.3,2.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.05_materiales1_c.png
4,0.05,TS,2.3,19.5,1.4,5.5,2.1,2.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.05_materiales1_c.png
5,0.05,TS,2.3,16.9,2.7,6.2,3,2.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.05_materiales1_c.png
6,0.05,TS,2.3,16.7,3.9,9,4.3,2.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.05_materiales1_c.png
8,0.05,TS,2.3,15.1,2.4,5.2,2.7,2.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.05_materiales1_c.png
10,0.05,TS,2.3,10.4,1.8,4.2,1.9,2.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.05_materiales1_c.png
3,0.1,TS,4.6,65.9,7.7,37.2,11.5,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.1_materiales1_c.png
4,0.1,TS,4.6,67.8,4.2,34.7,7.5,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.1_materiales1_c.png
5,0.1,TS,4.6,58.3,6.1,29.8,7.5,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.1_materiales1_c.png
6,0.1,TS,4.6,48.6,6.8,25.5,7.7,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.1_materiales1_c.png
8,0.1,TS,4.6,43.4,5,22.8,5.6,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.1_materiales1_c.png
10,0.1,TS,4.6,34.3,3.6,18.2,3.9,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.1_materiales1_c.png
3,0.15,TS,6.8,81.6,10.4,66.6,24.8,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.15_materiales1_c.png
4,0.15,TS,6.8,81.3,8.2,64.3,19.5,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.15_materiales1_c.png
5,0.15,TS,6.8,77.4,9.5,60.7,18.1,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.15_materiales1_c.png
6,0.15,TS,6.8,71.3,10,54.1,16.4,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.15_materiales1_c.png
8,0.15,TS,6.8,63.7,8.2,42,13.4,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.15_materiales1_c.png
10,0.15,TS,6.8,55.1,4.9,33.9,7.1,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.15_materiales1_c.png
3,0.2,TS,9.1,85.9,11.9,82.9,38.7,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.2_materiales1_c.png
4,0.2,TS,9.1,82.9,14.2,81.4,37.3,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.2_materiales1_c.png
5,0.2,TS,9.1,82.6,12.9,76.7,32.7,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.2_materiales1_c.png
6,0.2,TS,9.1,80.5,12.5,70.2,28.7,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.2_materiales1_c.png
8,0.2,TS,9.1,76.4,10.4,57.7,21.7,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.2_materiales1_c.png
10,0.2,TS,9.1,72.7,6.8,48.9,17.1,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.2_materiales1_c.png
3,0.25,TS,11.4,82.8,16.8,92,53.3,0.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.25_materiales1_c.png
4,0.25,TS,11.4,81.9,17.3,90.6,54.4,0.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.25_materiales1_c.png
5,0.25,TS,11.4,82.9,15.8,86.9,49.8,0.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.25_materiales1_c.png
6,0.25,TS,11.4,82.1,15.4,82.8,44.1,0.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.25_materiales1_c.png
8,0.25,TS,11.4,81.8,12.9,72,33.9,0.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.25_materiales1_c.png
10,0.25,TS,11.4,81.5,8.3,61.4,24.2,0.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.25_materiales1_c.png
3,0.3,TS,13.7,77.2,22.8,96.7,67.5,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.3_materiales1_c.png
4,0.3,TS,13.7,78.8,21.1,95.1,65.9,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.3_materiales1_c.png
5,0.3,TS,13.7,79.6,20.1,92.8,61,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.3_materiales1_c.png
6,0.3,TS,13.7,80.1,19.2,89.6,55.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.3_materiales1_c.png
8,0.3,TS,13.7,82.4,15.2,83.2,43.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.3_materiales1_c.png
10,0.3,TS,13.7,85.4,10,73.3,34.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.3_materiales1_c.png
3,0.05,TC,2.6,80.4,5.2,54.5,15.5,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.05_materiales2_c.png
4,0.05,TC,2.6,76.6,2,49.7,10.8,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.05_materiales2_c.png
5,0.05,TC,2.6,70.8,3,45.3,11,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.05_materiales2_c.png
6,0.05,TC,2.6,64,4.2,40.3,11.3,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.05_materiales2_c.png
8,0.05,TC,2.6,54.2,2.5,31,8.9,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.05_materiales2_c.png
10,0.05,TC,2.6,43.4,1.9,25.5,8,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.05_materiales2_c.png
3,0.1,TC,5.3,90,9.7,92.8,54.7,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.1_materiales2_c.png
4,0.1,TC,5.3,93.1,5.8,90.7,52.5,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.1_materiales2_c.png
5,0.1,TC,5.3,91.2,6.9,85.8,46.5,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.1_materiales2_c.png
6,0.1,TC,5.3,89.2,7.4,82.2,40.9,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.1_materiales2_c.png
8,0.1,TC,5.3,88.9,5.3,71.9,32.6,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.1_materiales2_c.png
10,0.1,TC,5.3,84.5,3.7,58.6,23.4,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.1_materiales2_c.png
3,0.15,TC,7.9,82.8,17.1,99.1,82.2,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.15_materiales2_c.png
4,0.15,TC,7.9,85.9,13.9,98.6,78.8,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.15_materiales2_c.png
5,0.15,TC,7.9,86.3,13.6,97.7,72.9,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.15_materiales2_c.png
6,0.15,TC,7.9,86.7,12.9,95.3,65.8,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.15_materiales2_c.png
8,0.15,TC,7.9,90.4,8.9,91.4,54.4,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.15_materiales2_c.png
