in:Altura [m],in:Apertura [%],in:Materiales,out:Energía [kWh/m2],out:ASE250 [%Area],out:UDI300 [%],out:UDI+ [%],out:DA300 [%],out:DA500 [%],out:DA750 [%],out:DA1000 [%],out:DA1250 [%],out:Valor m2/p [COP],img_1
3,0.05,TS,2.3,22.7,20.9,4.7,25.7,9.4,5.8,5.3,5.2,2.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.05_materiales1_c.png
4,0.05,TS,2.3,7.1,19.5,1.4,20.8,5.5,2.3,2.1,2,2.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.05_materiales1_c.png
5,0.05,TS,2.3,10.2,16.9,2.7,19.6,6.2,3.4,3,2.9,2.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.05_materiales1_c.png
6,0.05,TS,2.3,16.3,16.7,3.9,20.5,9,4.8,4.3,4.1,2.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.05_materiales1_c.png
8,0.05,TS,2.3,11.3,15.1,2.4,17.4,5.2,3.3,2.7,2.5,2.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.05_materiales1_c.png
10,0.05,TS,2.3,9.9,10.4,1.8,12.2,4.2,2.2,1.9,1.8,2.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.05_materiales1_c.png
3,0.1,TS,4.6,34.7,65.9,7.7,73.6,37.2,17.7,11.5,9.5,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.1_materiales1_c.png
4,0.1,TS,4.6,19.8,67.8,4.2,72,34.7,14,7.5,5.6,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.1_materiales1_c.png
5,0.1,TS,4.6,25,58.3,6.1,64.4,29.8,12,7.5,6.8,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.1_materiales1_c.png
6,0.1,TS,4.6,29.1,48.6,6.8,55.3,25.5,11.5,7.7,7.3,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.1_materiales1_c.png
8,0.1,TS,4.6,21.8,43.4,5,48.4,22.8,8.6,5.6,5.4,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.1_materiales1_c.png
10,0.1,TS,4.6,16.7,34.3,3.6,38,18.2,6.1,3.9,3.8,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.1_materiales1_c.png
3,0.15,TS,6.8,45.7,81.6,10.4,92,66.6,38.6,24.8,17.2,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.15_materiales1_c.png
4,0.15,TS,6.8,36.7,81.3,8.2,89.6,64.3,35.3,19.5,13.8,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.15_materiales1_c.png
5,0.15,TS,6.8,38.7,77.4,9.5,86.9,60.7,32,18.1,12.2,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.15_materiales1_c.png
6,0.15,TS,6.8,41.6,71.3,10,81.3,54.1,27.9,16.4,11.8,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.15_materiales1_c.png
8,0.15,TS,6.8,34.1,63.7,8.2,71.9,42,22.7,13.4,9.2,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.15_materiales1_c.png
10,0.15,TS,6.8,22.9,55.1,4.9,60,33.9,16.1,7.1,5.3,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.15_materiales1_c.png
3,0.2,TS,9.1,52.5,85.9,11.9,97.8,82.9,58.7,38.7,27.5,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.2_materiales1_c.png
4,0.2,TS,9.1,60.3,82.9,14.2,97.1,81.4,57.4,37.3,25.3,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.2_materiales1_c.png
